ProjectName,ProjectKey,ProjectID,upStreamItemID,upStreamItemName,upStreamItemStatusName,upStreamItemTypeID,upStreamItemTypeName,upStreamItemCompletedOrNot,upStreamItemLevelName,upStreamItemItemRelease,upStreamReleaseName,upStreamItemTags,upStreamItemTestCaseStatus,upStreamItemPriorityCode,upStreamItemPriorityName,upStreamItemJiraStatus,upStreamItemCreateDate,upStreamItemCreatedByName,upStreamItemCreatedByID,upStreamItemModifiedDate,upStreamItemModifiedByName,upStreamItemModifiedByID,upStreamItemDescription,GroupName,ItemID,ItemName,StatusName,ItemTypeID,ItemTypeName,CompletedOrNot,LevelName,ItemRelease,ItemReleaseName,Tags,JiraStatus,TestCaseStatus,PriorityCode,PriorityName,createdDate,CreatedByName,CreatedByID,ModifiedDate,ModifiedByName,ModifiedByID,ItemDescription,downStreamItemID,downStreamItemName,downStreamStatusName,downStreamItemTypeID,downStreamItemTypeName,downStreamCompletedOrNot,downStreamLevelName,downStreamItemRelease,downStreamItemReleaseName,downStreamItemTags,downStreamItemTestCaseStatus,downStreamItemPriorityCode,downStreamItemPriorityName,downStreamItemJiraStatus,downStreamItemCreateDate,downStreamItemCreatedByName,downStreamItemCreatedByID,downStreamItemModifiedDate,downStreamItemModifiedByName,downStreamItemModifiedByID,downStreamItemDescription
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109549,8.5 - Mandatory,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:29,Dallon Schofield,130,2025-10-22 19:54:29,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109550,8.5 - Required,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:29,Dallon Schofield,130,2025-10-22 19:54:29,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109551,8.5 - Highly Recommended,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:29,Dallon Schofield,130,2025-10-22 19:54:29,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109552,8.5 - Recommended,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:29,Dallon Schofield,130,2025-10-22 19:54:29,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109554,8.6 - Mandatory,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:29,Dallon Schofield,130,2025-10-22 19:54:29,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109555,8.6 - Required,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:29,Dallon Schofield,130,2025-10-22 19:54:29,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109556,8.6 - Highly Recommended,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:29,Dallon Schofield,130,2025-10-22 19:54:29,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109557,8.6 - Recommended,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:29,Dallon Schofield,130,2025-10-22 19:54:29,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109559,8.7 - Mandatory,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:29,Dallon Schofield,130,2025-10-22 19:54:29,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
Landscaping - MaaS,LMAAS,155,,,,,,,,,,,,,,,,,,,,,,TestCases,5109560,8.7 - Required,Approved,210,System Verification Test Case,Completed,Update LevelName Calculation rule,,,,,NOT_SCHEDULED,,,2025-10-22 19:54:30,Dallon Schofield,130,2025-10-22 19:54:30,Dallon Schofield,130,,,,,,,,,,,,,,,,,,,,,,
